"XGBoost (Default, Tuned)","XGBoost (Extra Features, Tuned)",Linear Regression,RuleFit (Tuned),RuleFit (Default),Few-Shot KNN,DNN Small (32-16)
1.4456,1.7052,2.575,1.7843,1.5346,2.2212,1.2185
2.1062,2.1603,60.4986,1.71,1.8777,2.6465,72.0917
1.6076,1.8092,6.0191,1.5734,2.0021,2.3933,2.111
2.0453,1.8432,2.5102,2.0041,2.0743,2.6705,2.0619
2.2291,2.2225,3.1791,2.125,2.0999,2.6536,2.0476
2.2501,2.132,2.8996,1.7724,1.9876,2.5924,2.0893
1.9162,1.7358,2.1257,1.8246,1.8496,2.3037,2.1977
1.44,1.3863,3.4512,1.9065,1.8229,1.9671,2.3026
1.8603,1.8582,3.6999,2.4046,2.286,2.3956,2.9051
1.2682,1.164,2.3609,1.4475,1.3317,2.1346,1.5166
2.1732,2.0939,2.7965,2.0562,2.0546,2.5881,4.8239
2.2879,2.3093,2.7773,2.2649,2.3818,2.6156,1.9592
1.8865,1.8351,2.6246,1.5462,1.5504,1.9052,2.2176
1.8506,1.9664,3.1991,1.9061,1.8248,2.3239,1.6924
1.4094,1.4384,3.3155,1.6697,1.6787,2.2577,1.3366
1.8125,1.7186,3.5754,1.8604,1.7706,2.6731,2.21
2.5017,2.364,2.6289,2.3708,2.5272,2.4679,1.6513
2.0294,2.5504,5.0815,2.4809,2.4403,2.7102,2.7727
1.8846,2.1697,3.5674,1.9523,1.7884,2.5413,1.8965
1.6455,1.4736,3.2587,1.9753,1.7435,1.9337,3.3511
1.6546,1.6658,1.9723,1.6419,1.7147,1.4985,1.6059
1.9104,1.5993,2.4788,1.593,1.5439,2.739,1.9788
1.7119,2.1169,4.9381,1.832,2.0562,2.6822,2.2733
2.9671,2.8201,2.7367,2.9088,2.8046,3.1275,2.4959
1.8518,2.1736,3.1193,3.1501,2.0169,2.8953,3.5472
1.5767,1.576,3.4832,1.6974,1.6658,2.5731,1.9133
2.5458,2.5395,3.0956,2.6105,2.6452,3.2912,3.0225
2.4348,2.0495,3.0277,2.0453,2.8677,2.2663,2.0377
2.1105,2.0109,2.2296,2.2967,2.4048,2.2268,2.1486
1.8861,2.0651,3.785,2.2331,2.2679,2.5031,1.9949
