Ref,n_test,RF_MAE,XGB_MAE
[19],16,3.0595542969991145,1.5131718063354493
[25],9,2.508028834001044,2.8377339892917206
[20],8,5.9570714887241785,4.170392847061158
[27],6,2.278214928900024,2.2840481122334797
[16],5,2.4405079541218613,4.231396751403809
[18],5,6.610560358522579,5.794837684631348
[21],5,2.5046095169008624,2.3642404174804685
[28],5,2.225597806045383,2.9058127059936516
[30],5,1.6434668889754758,1.823924674987793
[22],4,2.3295719322865036,2.31317440032959
[3],4,0.9234597816347216,3.60206470489502
[26],3,0.8758825332187868,1.1722948074340822
[17],2,4.189160226929819,2.322306060791015
[23],2,4.4775687648475895,5.004231767654419
[24],2,0.9869001607871244,1.9153038978576653
[29],1,1.5048295105304028,1.162669372558593
