Metric,Comparator,n,MeanDiff,CI95_lo,CI95_hi,t,p_one_tailed,Cohens_dz,p_bonferroni,p_holm,sig_bonf_0.05
R2,"XGBoost (Default, Tuned)",30,-0.012756666666666654,-0.04781649038551864,0.022303157052185336,-0.7441655443191467,0.7686179928320411,-0.135865418380569,1.0,1.0,False
R2,"XGBoost (Extra Features, Tuned)",30,-0.01338666666666665,-0.04230544758468748,0.015532114251354182,-0.946748327795354,0.824205171516585,-0.17285180513793688,1.0,1.0,False
R2,Linear Regression,30,7.346190000000001,-6.923536809027838,21.61591680902784,1.0529035170619665,0.15053977417041547,0.19223300239045485,1.0,1.0,False
R2,RuleFit (Default),30,0.0008133333333333363,-0.03310039981991982,0.0347270664865865,0.04904955272104485,0.4806080345893928,0.00895518215361839,1.0,1.0,False
R2,Few-Shot KNN,30,0.11422333333333337,0.07599923489257276,0.15244743177409398,6.111666636653035,5.865095088048517e-07,1.1158325602821988,1.055717115848733e-05,9.384152140877626e-06,True
R2,DNN Small (32-16),30,10.011196666666667,-10.285423272633874,30.307816605967208,1.0087983239140452,0.16070744540167436,0.18418053266037526,1.0,1.0,False
MAE,"XGBoost (Default, Tuned)",30,0.05100666666666669,-0.05296377142885813,0.1549771047621915,1.003365461605562,0.8380081615359186,0.18318863224765003,1.0,1.0,False
MAE,"XGBoost (Extra Features, Tuned)",30,0.04696999999999999,-0.04402050550824601,0.13796050550824598,1.055763299196829,0.8501035920376304,0.19275512478539303,1.0,1.0,False
MAE,Linear Regression,30,-1.491643333333333,-3.16462233698757,0.1813356703209037,-1.823545396660268,0.03927184115477263,-0.33293231612851154,0.7068931407859073,0.5890776173215894,False
MAE,RuleFit (Default),30,-0.02406999999999999,-0.1145741127775388,0.06643411277753881,-0.5439385678211041,0.29532076843628413,-0.09930914116422412,1.0,1.0,False
MAE,Few-Shot KNN,30,-0.34426666666666667,-0.4581556854324042,-0.23037764790092913,-6.1823729723511205,4.834654488055506e-07,-1.128741711955657,8.702378078499911e-06,8.21891262969436e-06,True
MAE,DNN Small (32-16),30,-1.1261466666666669,-3.0829850582345646,0.8306917249012307,-1.1770152067642972,0.12437996590968577,-0.21489259309047087,1.0,1.0,False
RMSE,"XGBoost (Default, Tuned)",30,0.07814666666666667,-0.052539142239706293,0.20883247557303963,1.2229933796027965,0.884410988054519,0.22328702056264338,1.0,1.0,False
RMSE,"XGBoost (Extra Features, Tuned)",30,0.06970666666666668,-0.04170891587773126,0.18112224921106462,1.279588883934787,0.8945836277629038,0.23361989868798091,1.0,1.0,False
RMSE,Linear Regression,30,-3.078883333333333,-7.024240759799348,0.8664740931326809,-1.5960590581122904,0.06065848796435237,-0.29139918307951673,1.0,0.8492188315009332,False
RMSE,RuleFit (Default),30,0.0009866666666666394,-0.10953902795953038,0.11151236129286365,0.018257835161278206,0.507220898004789,0.0033334093896810156,1.0,1.0,False
RMSE,Few-Shot KNN,30,-0.4384733333333333,-0.5723228067254708,-0.3046238599411959,-6.699904272247551,1.191044381674761e-07,-1.223229567678406,2.1438798870145697e-06,2.1438798870145697e-06,True
RMSE,DNN Small (32-16),30,-2.560913333333333,-7.34990611166239,2.2280794449957244,-1.0936863141592974,0.14154714101205468,-0.19967888836657635,1.0,1.0,False
